State,Year,Data.Population,Data.Rates.Violent.All,Data.Totals.Violent.All
Alabama,2000,4447100,486.2,21620
Alabama,2001,4468912,438.2,19582
Alabama,2002,4478896,445.0,19931
Alabama,2003,4503726,429.2,19331
Alabama,2004,4525375,427.0,19324
Alabama,2005,4548327,433.0,19678
Alabama,2006,4599030,425.2,19553
Alabama,2007,4627851,448.9,20775
Alabama,2008,4661900,452.8,21110
Alabama,2009,4708708,450.1,21194
Alabama,2010,4785401,383.7,18363
Alabama,2011,4803689,419.8,20166
Alabama,2012,4822023,449.9,21693
Alabama,2013,4833722,430.8,20826
Alabama,2014,4849377,427.4,20727
Alabama,2015,4858979,472.4,22952
Alabama,2016,4863300,532.3,25886
Alabama,2017,4874747,524.2,25551
Alabama,2018,4887871,519.6,25399
Alabama,2019,4903185,510.8,25046
Alaska,2000,626932,566.9,3554
Alaska,2001,633630,589.5,3735
Alaska,2002,641482,565.4,3627
Alaska,2003,648280,598.0,3877
Alaska,2004,657755,632.3,4159
Alaska,2005,663253,632.0,4194
Alaska,2006,670053,688.0,4610
Alaska,2007,683478,661.3,4520
Alaska,2008,686293,652.1,4475
Alaska,2009,698473,633.4,4424
Alaska,2010,714146,635.3,4537
Alaska,2011,723860,610.1,4416
Alaska,2012,731449,603.2,4412
Alaska,2013,735132,640.4,4708
Alaska,2014,736732,635.8,4684
Alaska,2015,738432,730.2,5392
Alaska,2016,741894,804.2,5966
Alaska,2017,739795,829.0,6133
Alaska,2018,737438,885.0,6526
Alaska,2019,731545,867.1,6343
Arizona,2000,5130632,531.7,27281
Arizona,2001,5306966,540.3,28675
Arizona,2002,5441125,554.5,30171
Arizona,2003,5579222,513.3,28638
Arizona,2004,5739879,504.4,28952
Arizona,2005,5953007,512.0,30478
Arizona,2006,6166318,542.6,33456
Arizona,2007,6338755,518.0,32835
Arizona,2008,6500180,485.6,31567
Arizona,2009,6595778,426.5,28128
Arizona,2010,6413158,413.6,26528
Arizona,2011,6467315,414.2,26789
Arizona,2012,6553255,428.9,28108
Arizona,2013,6626624,416.5,27599
Arizona,2014,6731484,399.9,26916
Arizona,2015,6828065,410.2,28012
Arizona,2016,6931071,470.1,32583
Arizona,2017,7016270,508.0,35644
Arizona,2018,7171646,474.9,34058
Arizona,2019,7278717,455.3,33141
Arkansas,2000,2673400,445.3,11904
Arkansas,2001,2694698,452.4,12190
Arkansas,2002,2706268,425.0,11501
Arkansas,2003,2727774,456.4,12449
Arkansas,2004,2750000,502.3,13814
Arkansas,2005,2775708,528.0,14670
Arkansas,2006,2810872,552.8,15538
Arkansas,2007,2834797,537.1,15226
Arkansas,2008,2855390,513.0,14649
Arkansas,2009,2889450,515.8,14905
Arkansas,2010,2921588,503.5,14711
Arkansas,2011,2938582,482.3,14173
Arkansas,2012,2949131,469.1,13835
Arkansas,2013,2959373,460.3,13621
Arkansas,2014,2966369,480.1,14243
Arkansas,2015,2978204,521.3,15526
Arkansas,2016,2988248,550.9,16461
Arkansas,2017,3004279,554.9,16671
Arkansas,2018,3013825,543.6,16384
Arkansas,2019,3017804,584.6,17643
California,2000,33871648,621.6,210531
California,2001,34600463,615.2,212867
California,2002,35001986,595.4,208388
California,2003,35462712,579.6,205551
California,2004,35842038,527.8,189175
California,2005,36154147,526.0,190178
California,2006,36457549,533.5,194483
California,2007,36553215,524.1,191561
California,2008,36756666,504.2,185329
California,2009,36961664,473.3,174934
California,2010,37338198,439.6,164133
California,2011,37683933,411.2,154943
California,2012,38041430,423.1,160944
California,2013,38332521,402.1,154129
California,2014,38802500,396.1,153709
California,2015,39144818,426.3,166883
California,2016,39250017,445.3,174796
California,2017,39536653,449.3,177627
California,2018,39557045,447.4,176982
California,2019,39512223,441.2,174331
Colorado,2000,4301261,334.0,14367
Colorado,2001,4430989,349.6,15492
Colorado,2002,4501051,352.9,15882
Colorado,2003,4547633,346.5,15757
Colorado,2004,4601821,372.0,17121
Colorado,2005,4663295,397.0,18498
Colorado,2006,4753377,395.4,18794
Colorado,2007,4861515,351.8,17101
Colorado,2008,4939456,353.9,17480
Colorado,2009,5024748,338.8,17022
Colorado,2010,5047692,323.7,16339
Colorado,2011,5116302,314.4,16085
Colorado,2012,5187582,308.9,16023
Colorado,2013,5268367,308.0,16226
Colorado,2014,5355866,309.1,16554
Colorado,2015,5456574,321.0,17515
Colorado,2016,5540545,342.6,18983
Colorado,2017,5607154,368.1,20638
Colorado,2018,5695564,397.2,22624
Colorado,2019,5758736,381.0,21938
Connecticut,2000,3405565,324.7,11058
Connecticut,2001,3434602,334.6,11492
Connecticut,2002,3458587,312.5,10807
Connecticut,2003,3486960,316.8,11045
Connecticut,2004,3498966,289.0,10113
Connecticut,2005,3500701,273.0,9542
Connecticut,2006,3504809,299.7,10505
Connecticut,2007,3502309,301.1,10547
Connecticut,2008,3501252,306.7,10737
Connecticut,2009,3518288,300.9,10588
Connecticut,2010,3575498,282.0,10083
Connecticut,2011,3586717,275.7,9889
Connecticut,2012,3590347,283.0,10160
Connecticut,2013,3596080,262.5,9440
Connecticut,2014,3596677,236.9,8522
Connecticut,2015,3590886,218.5,7845
Connecticut,2016,3576452,227.1,8123
Connecticut,2017,3588184,228.0,8180
Connecticut,2018,3572665,207.4,7411
Connecticut,2019,3565287,183.6,6546
Delaware,2000,783600,684.4,5363
